group	module_no	p-value-rank	log2foldRatio	# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
ALL	31	45	6.632	GO:0071385	BP	e	cellular response to glucocorticoid stimulus	3/12	52/20424	3.3695310907597297e-06	8	3	0.0009984827803368591	ENSG00000118689, ENSG00000119138, ENSG00000153094
ALL	31	47	2.388	GO:0031326	BP	e	regulation of cellular biosynthetic process	10/12	4020/20424	3.852916220278103e-06	5	10	0.0011201808686465149	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	48	3.251	GO:0042981	BP	e	regulation of apoptotic process	7/12	1398/20424	4.0457871425951554e-06	6	7	0.0011544728533379397	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094
ALL	31	49	2.902	GO:0010033	BP	e	response to organic substance	8/12	2103/20424	4.21857902945969e-06	3	8	0.0011669100247935524	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	49	2.371	GO:0009889	BP	e	regulation of biosynthetic process	10/12	4080/20424	4.439954437742181e-06	4	10	0.0011669100247935524	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	49	3.663	GO:1901698	BP	e	response to nitrogen compound	6/12	875/20424	4.498657772083323e-06	3	6	0.0011669100247935524	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	49	4.244	GO:1901699	BP	e	cellular response to nitrogen compound	5/12	474/20424	4.563243369462122e-06	4	5	0.0011669100247935524	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000153094
ALL	31	49	3.226	GO:0043067	BP	e	regulation of programmed cell death	7/12	1426/20424	4.6201626924478975e-06	5	7	0.0011669100247935524	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094
ALL	31	49	2.142	GO:0051171	BP	e	regulation of nitrogen compound metabolic process	11/12	5482/20424	4.6808704991668165e-06	4	11	0.0011669100247935524	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	49	3.223	GO:0009653	BP	e	anatomical structure morphogenesis	7/12	1429/20424	4.685583420497934e-06	2	7	0.0011669100247935524	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000153094, ENSG00000158055
ALL	31	49	6.476	GO:0071384	BP	e	cellular response to corticosteroid stimulus	3/12	58/20424	4.695205499201781e-06	7	3	0.0011669100247935524	ENSG00000118689, ENSG00000119138, ENSG00000153094
ALL	31	50	2.134	GO:0048522	BP	e	positive regulation of cellular process	11/12	5526/20424	5.098150157568942e-06	4	11	0.0012469427901266638	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	51	5.036	GO:0048545	BP	e	response to steroid hormone	4/12	214/20424	5.431372881625436e-06	5	4	0.0013076878864525991	ENSG00000118689, ENSG00000119138, ENSG00000153094, ENSG00000170345
ALL	31	52	4.188	GO:0043065	BP	e	positive regulation of apoptotic process	5/12	494/20424	5.583000218533983e-06	7	5	0.0013235146210367713	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000150907, ENSG00000153094
ALL	31	53	5.004	GO:1901653	BP	e	cellular response to peptide	4/12	219/20424	5.951512270797751e-06	6	4	0.0013894977663745842	ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000153094
ALL	31	54	2.111	GO:0080090	BP	e	regulation of primary metabolic process	11/12	5639/20424	6.3279576791032e-06	4	11	0.0014497533847848652	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	54	4.15	GO:0043068	BP	e	positive regulation of programmed cell death	5/12	508/20424	6.397769496097789e-06	6	5	0.0014497533847848652	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000150907, ENSG00000153094
ALL	31	55	3.568	GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	6/12	940/20424	6.807063423517669e-06	11	6	0.0015201455114925181	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907
ALL	31	56	4.935	GO:0062197	BP	e	cellular response to chemical stress	4/12	230/20424	7.2248796998681124e-06	4	4	0.0015904024470752534	ENSG00000087245, ENSG00000118689, ENSG00000150907, ENSG00000170345
ALL	31	57	4.911	GO:0007568	BP	e	aging	4/12	234/20424	7.73446641073559e-06	2	4	0.0016785970834228832	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000170345
ALL	31	58	3.516	GO:0051241	BP	e	negative regulation of multicellular organismal process	6/12	978/20424	8.554319915172937e-06	4	6	0.0018307432718458303	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000136826, ENSG00000147862, ENSG00000150907
ALL	31	59	8.736	GO:2000271	BP	e	positive regulation of fibroblast apoptotic process	2/12	8/20424	8.843432246738737e-06	8	2	0.001866691061506811	ENSG00000073282, ENSG00000153094
ALL	31	60	2.067	GO:0031323	BP	e	regulation of cellular metabolic process	11/12	5869/20424	9.690974656159844e-06	4	11	0.002017949033469825	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	61	2.269	GO:0007165	BP	e	signal transduction	10/12	4455/20424	1.027545151408731e-05	4	10	0.0021041296734074246	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	61	3.07	GO:0042127	BP	e	regulation of cell population proliferation	7/12	1610/20424	1.0377951533452155e-05	4	7	0.0021041296734074246	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907
ALL	31	62	6.091	GO:0071383	BP	e	cellular response to steroid hormone stimulus	3/12	76/20424	1.0633668885869867e-05	6	3	0.002127976673537257	ENSG00000118689, ENSG00000119138, ENSG00000153094
ALL	31	64	8.567	GO:0001542	BP	e	ovulation from ovarian follicle	2/12	9/20424	1.136641554050546e-05	4	2	0.0022454499623544696	ENSG00000087245, ENSG00000118689
ALL	31	65	2.039	GO:0048518	BP	e	positive regulation of biological process	11/12	6020/20424	1.2700221384299614e-05	3	11	0.00247718621912244	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	66	2.035	GO:0060255	BP	e	regulation of macromolecule metabolic process	11/12	6043/20424	1.322600804923099e-05	4	11	0.002547494475382504	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	67	5.949	GO:1901216	BP	e	positive regulation of neuron death	3/12	84/20424	1.4374663319393024e-05	6	3	0.0027345578652904585	ENSG00000118689, ENSG00000153094, ENSG00000170345
ALL	31	68	5.916	GO:0072331	BP	e	signal transduction by p53 class mediator	3/12	86/20424	1.542892126109155e-05	6	3	0.002899320094050728	ENSG00000073282, ENSG00000118689, ENSG00000156127
ALL	31	69	2.209	GO:0010468	BP	e	regulation of gene expression	10/12	4699/20424	1.705257066244541e-05	5	10	0.00316582001611592	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	70	4.623	GO:0071496	BP	e	cellular response to external stimulus	4/12	288/20424	1.7532353494468588e-05	3	4	0.003216143273765077	ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000170345
ALL	31	71	2.657	GO:0042221	BP	e	response to chemical	8/12	2566/20424	1.9000598905800598e-05	2	8	0.0034444732769350755	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	72	4.566	GO:0006351	BP	e	transcription, DNA-templated	4/12	300/20424	2.05813256464659e-05	9	4	0.003687647056818524	ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000170345
ALL	31	73	4.562	GO:0097659	BP	e	nucleic acid-templated transcription	4/12	301/20424	2.0851924158914272e-05	8	4	0.0036931873490196553	ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000170345
ALL	31	74	2.917	GO:0009605	BP	e	response to external stimulus	7/12	1818/20424	2.3193480191640645e-05	2	7	0.004061231094011257	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000170345
ALL	31	76	3.733	GO:0006974	BP	e	cellular response to DNA damage stimulus	5/12	692/20424	2.8590972796661807e-05	4	5	0.004950093256446761	ENSG00000073282, ENSG00000118689, ENSG00000150907, ENSG00000153094, ENSG00000156127
ALL	31	77	1.947	GO:0019222	BP	e	regulation of metabolic process	11/12	6555/20424	3.1357657436779473e-05	3	11	0.00536877937159261	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	78	5.567	GO:0019827	BP	e	stem cell population maintenance	3/12	110/20424	3.2279772841811476e-05	3	3	0.005465923293620583	ENSG00000118689, ENSG00000136826, ENSG00000150907
ALL	31	79	5.555	GO:0034614	BP	e	cellular response to reactive oxygen species	3/12	111/20424	3.316544706272687e-05	6	3	0.005554851889016939	ENSG00000087245, ENSG00000150907, ENSG00000170345
ALL	31	80	2.128	GO:0032502	BP	e	developmental process	10/12	5050/20424	3.370211731273884e-05	1	10	0.005584042211526804	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	81	5.542	GO:0098727	BP	e	maintenance of cell number	3/12	112/20424	3.406697257699294e-05	2	3	0.005584446600413662	ENSG00000118689, ENSG00000136826, ENSG00000150907
ALL	31	82	2.559	GO:0048869	BP	e	cellular developmental process	8/12	2782/20424	3.4798524989108624e-05	2	8	0.005644320753233419	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000170345
ALL	31	83	3.191	GO:0009607	BP	e	response to biotic stimulus	6/12	1256/20424	3.579656090314483e-05	2	6	0.005745720905797486	ENSG00000109320, ENSG00000136826, ENSG00000147862, ENSG00000153094, ENSG00000156127, ENSG00000170345
ALL	31	84	4.362	GO:0006979	BP	e	response to oxidative stress	4/12	348/20424	3.680608841267509e-05	3	4	0.00584685583866918	ENSG00000087245, ENSG00000118689, ENSG00000150907, ENSG00000170345
ALL	31	85	3.653	GO:0048646	BP	e	anatomical structure formation involved in morphogenesis	5/12	735/20424	3.819782344928189e-05	2	5	0.006006023076836579	ENSG00000073282, ENSG00000087245, ENSG00000147862, ENSG00000153094, ENSG00000158055
ALL	31	86	3.17	GO:0045892	BP	e	negative regulation of transcription, DNA-templated	6/12	1276/20424	3.9155547076133446e-05	10	6	0.006080772932652961	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907
ALL	31	86	3.168	GO:1903507	BP	e	negative regulation of nucleic acid-templated transcription	6/12	1278/20424	3.9505058831040105e-05	9	6	0.006080772932652961	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907
ALL	31	86	3.166	GO:1902679	BP	e	negative regulation of RNA biosynthetic process	6/12	1280/20424	3.98571007981017e-05	8	6	0.006080772932652961	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907
ALL	31	87	7.653	GO:2000269	BP	e	regulation of fibroblast apoptotic process	2/12	17/20424	4.2827784979839724e-05	7	2	0.006407119793731556	ENSG00000073282, ENSG00000153094
