refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	channel_count	characteristics_ch1_cell line	characteristics_ch1_cell type	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_name	contact_zip/postal_code	data_processing	data_row_count	description	extract_protocol_ch1	geo_accession	growth_protocol_ch1	hyb_protocol	label_ch1	label_protocol_ch1	last_update_date	molecule_ch1	organism_ch1	platform_id	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	title	treatment_protocol_ch1	type	Meta
GSM1280339	GSE53012		atcc, htb-78					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	sk-ov-3 human ovarian cancer cell line			SK_C2		1	ATCC, HTB-78	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 ovarian cancer cells   exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280339	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	SK-OV-3 cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280339/suppl/GSM1280339_SK_C2.CEL.gz	9606	SK_C2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3  cyclic
GSM1280340	GSE53012		atcc, htb-79					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	sk-ov-3 human ovarian cancer cell line			SK_C3		1	ATCC, HTB-79	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 ovarian cancer cells   exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280340	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	SK-OV-3 cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280340/suppl/GSM1280340_SK_C3.CEL.gz	9606	SK_C3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3  cyclic
GSM1280341	GSE53012		atcc, htb-80					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	sk-ov-3 human ovarian cancer cell line			SK_H1		1	ATCC, HTB-80	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 ovarian cancer cells exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280341	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	SK-OV-3 cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280341/suppl/GSM1280341_SK_H1.CEL.gz	9606	SK_H1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3 chronic
GSM1280342	GSE53012		atcc, htb-81					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	sk-ov-3 human ovarian cancer cell line			SK_H2		1	ATCC, HTB-81	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 ovarian cancer cells exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280342	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	SK-OV-3 cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280342/suppl/GSM1280342_SK_H2.CEL.gz	9606	SK_H2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3 chronic
GSM1280343	GSE53012		atcc, htb-82					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	sk-ov-3 human ovarian cancer cell line			SK_H3		1	ATCC, HTB-82	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 ovarian cancer cells exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280343	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	SK-OV-3 cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280343/suppl/GSM1280343_SK_H3.CEL.gz	9606	SK_H3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3 chronic
GSM1280344	GSE53012		atcc, htb-83					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	sk-ov-3 human ovarian cancer cell line			SK_K1		1	ATCC, HTB-83	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 cancer cells cultured in control conditions (21% oxygen), biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280344	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	control SK-OV-3 cells	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280344/suppl/GSM1280344_SK_K1.CEL.gz	9606	SK_K1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3 control
GSM1280345	GSE53012		atcc, htb-84					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	sk-ov-3 human ovarian cancer cell line			SK_K2		1	ATCC, HTB-84	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 cancer cells cultured in control conditions (21% oxygen), biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280345	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	control SK-OV-3 cells	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280345/suppl/GSM1280345_SK_K2.CEL.gz	9606	SK_K2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3 control
GSM1280346	GSE53012		atcc, htb-85					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	sk-ov-3 human ovarian cancer cell line			SK_K3		1	ATCC, HTB-85	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 cancer cells cultured in control conditions (21% oxygen), biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280346	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	control SK-OV-3 cells	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280346/suppl/GSM1280346_SK_K3.CEL.gz	9606	SK_K3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3 control
GSM1280347	GSE53012		atcc, crl-2806					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	wm793b human melanoma cell line			WM_C1		1	ATCC, CRL-2806	WM793B human melanoma cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	WM793B melanoma cells  exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280347	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	WM793B cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280347/suppl/GSM1280347_WM_C1.CEL.gz	9606	WM_C1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	WM793B cycling
GSM1280348	GSE53012		atcc, crl-2807					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	wm793b human melanoma cell line			WM_C2		1	ATCC, CRL-2807	WM793B human melanoma cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	WM793B melanoma cells  exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280348	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	WM793B cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280348/suppl/GSM1280348_WM_C2.CEL.gz	9606	WM_C2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	WM793B cycling
GSM1280349	GSE53012		atcc, crl-2808					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	wm793b human melanoma cell line			WM_C3		1	ATCC, CRL-2808	WM793B human melanoma cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	WM793B melanoma cells  exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280349	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	WM793B cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280349/suppl/GSM1280349_WM_C3.CEL.gz	9606	WM_C3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	WM793B cycling
GSM1280351	GSE53012		atcc, crl-2810					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	wm793b human melanoma cell line			WM_H2		1	ATCC, CRL-2810	WM793B human melanoma cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	WM793B melanoma cells exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280351	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	WM793B cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280351/suppl/GSM1280351_WM_H2.CEL.gz	9606	WM_H2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	WM793B chronic
